ticker,pearson,n
AAPL,-0.010791898962923072,2226
NVDA,0.0064347846529998,2226
META,-0.005694295874071738,1985
AMZN,0.0035935749504365667,2226
GOOG,-0.001935575806285924,2226
MSFT,-0.0016433084559135357,2226
