date,n_articles,mean_ensemble,mean_tb,mean_vader
2011-04-27,1,0.0,0.0,0.0
2011-04-28,2,0.09659090909090909,0.06818181818181818,0.125
2011-04-29,2,0.26710833333333334,0.16666666666666669,0.36755
2011-04-30,1,0.35115,0.5,0.2023
2011-05-01,1,0.0,0.0,0.0
2011-05-02,9,0.06359259259259259,-0.009259259259259259,0.13644444444444445
2011-05-03,3,0.0,0.0,0.0
2011-05-05,3,-0.021333333333333333,0.0,-0.042666666666666665
2011-05-06,3,0.045750000000000006,0.16666666666666666,-0.07516666666666667
2011-05-07,2,0.284225,0.25,0.31845
2011-05-09,3,-0.08873939393939394,0.04545454545454545,-0.22293333333333332
2011-05-11,3,0.08375,-0.029166666666666664,0.19666666666666668
2011-05-12,1,0.35115,0.5,0.2023
2011-05-13,4,0.05384861111111111,-0.07777777777777778,0.185475
2011-05-15,1,0.0,0.0,0.0
2011-05-16,4,-0.053475,0.0,-0.10695
2011-05-17,3,-0.022783333333333333,0.0,-0.045566666666666665
2011-05-18,3,0.05833333333333333,0.11666666666666665,0.0
2011-05-19,2,0.0,0.0,0.0
2011-05-20,1,0.148,0.0,0.296
2011-05-22,2,0.3005,0.5,0.101
2011-05-23,3,0.09101111111111111,-0.044444444444444446,0.22646666666666668
2011-05-24,4,0.06436249999999999,0.07499999999999998,0.053724999999999995
2011-05-25,9,0.2735444444444444,0.2611111111111111,0.28597777777777783
2011-05-26,2,-0.135575,0.0,-0.27115
2011-05-27,3,-0.14092592592592593,-0.1685185185185185,-0.11333333333333334
2011-05-29,1,0.3167,0.1,0.5334
2011-05-30,1,0.0,0.0,0.0
2011-05-31,7,0.1304214285714286,0.125,0.13584285714285713
2011-06-01,3,0.11631666666666667,0.0,0.23263333333333333
2011-06-02,1,0.0,0.0,0.0
2011-06-03,3,0.07945,0.0,0.1589
2011-06-06,7,0.015001731601731608,0.09534632034632036,-0.06534285714285713
2011-06-07,5,0.12351000000000001,0.1,0.14701999999999998
2011-06-08,8,0.190525,0.125,0.25605
2011-06-09,7,0.0303,0.01142857142857143,0.04917142857142857
2011-06-10,6,0.025033333333333335,0.0,0.05006666666666667
2011-06-12,1,0.0,0.0,0.0
2011-06-13,2,0.0,0.0,0.0
2011-06-14,4,0.09573522727272726,-0.014204545454545456,0.205675
2011-06-15,4,0.07252045454545455,0.1590909090909091,-0.014050000000000007
2011-06-16,3,0.15985000000000002,0.125,0.19469999999999998
2011-06-17,7,-0.09727857142857142,0.0,-0.19455714285714285
2011-06-19,1,0.0,0.0,0.0
2011-06-20,5,0.09268444444444444,0.01888888888888889,0.16648000000000002
2011-06-21,2,0.17485,0.05,0.29969999999999997
2011-06-22,3,0.0,0.0,0.0
2011-06-23,4,-0.06584999999999999,-0.075,-0.0567
2011-06-24,2,0.18343333333333334,0.11666666666666667,0.2502
2011-06-27,3,0.0,0.0,0.0
2011-06-28,5,-0.21827999999999997,-0.04,-0.39655999999999997
2011-06-29,6,0.06588333333333334,0.0,0.13176666666666667
2011-06-30,4,0.29201515151515156,0.20303030303030303,0.381
2011-07-01,6,0.09465833333333333,0.029166666666666664,0.16015
2011-07-03,1,0.0,0.0,0.0
2011-07-05,4,0.1415875,0.0375,0.245675
2011-07-06,7,0.013197402597402597,0.033766233766233764,-0.007371428571428571
2011-07-07,3,0.09038333333333333,0.0,0.18076666666666666
2011-07-08,3,-0.004888888888888887,0.08888888888888889,-0.09866666666666667
2011-07-09,2,0.05,0.1,0.0
2011-07-11,5,-0.060509999999999994,0.0,-0.12101999999999999
2011-07-12,6,0.09139141414141415,0.04911616161616161,0.13366666666666668
2011-07-13,6,-0.09014166666666668,-0.12499999999999999,-0.05528333333333333
2011-07-14,5,0.0031348484848484847,0.05696969696969697,-0.05069999999999999
2011-07-15,3,-0.020833333333333332,-0.041666666666666664,0.0
2011-07-18,5,0.017748148148148145,-0.023703703703703706,0.059199999999999996
2011-07-19,10,-0.09728999999999999,0.0,-0.19457999999999998
2011-07-20,8,-0.16009374999999998,-0.175,-0.14518750000000002
2011-07-21,5,-0.09639333333333333,-0.016666666666666673,-0.17612
2011-07-22,11,0.12030192837465564,0.12038567493112948,0.12021818181818182
2011-07-23,1,0.0,0.0,0.0
2011-07-25,12,0.27875079365079364,0.25813492063492066,0.29936666666666667
2011-07-26,5,-0.000693636363636363,0.03727272727272727,-0.03865999999999999
2011-07-27,14,0.08724285714285715,0.019642857142857146,0.15484285714285714
2011-07-28,10,0.168295,0.175,0.16158999999999998
2011-07-29,4,-0.03739166666666666,0.21666666666666667,-0.29145
2011-07-31,1,0.0,0.0,0.0
2011-08-01,6,0.12466666666666666,0.11666666666666665,0.13266666666666668
2011-08-02,6,-0.0031749999999999973,0.0,-0.0063499999999999945
2011-08-03,15,0.05507666666666667,0.09666666666666668,0.013486666666666668
2011-08-04,6,0.09997878787878788,0.07575757575757576,0.12420000000000002
2011-08-05,8,0.02670625,0.09375,-0.0403375
2011-08-08,11,0.05321060606060606,0.06666666666666667,0.03975454545454546
2011-08-09,6,-0.003727777777777765,0.09444444444444444,-0.10189999999999999
2011-08-10,5,0.1015966666666667,0.11333333333333333,0.08986000000000002
2011-08-11,23,-0.024866666666666665,-0.013768115942028985,-0.035965217391304344
2011-08-12,2,0.0808,0.025,0.1366
2011-08-13,1,0.35115,0.5,0.2023
2011-08-15,4,0.19898749999999998,0.03125,0.36672499999999997
2011-08-16,1,0.0,0.0,0.0
2011-08-17,3,0.008333333333333333,0.016666666666666666,0.0
